benchmark,fork,classification,steady_state_starts,technique,last_warmup_it,last_measure_it,timewaste,interval
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,0,steady state,1787,Dev,499,999,-128.8003654120224,"(0.9566054139613639, 1.0008342811571234)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,1,steady state,353,Dev,499,999,14.600035168765984,"(0.988633300523312, 1.0171074484533953)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,2,steady state,547,Dev,499,999,-4.800010302031971,"(0.9306502614412875, 1.1706960975970944)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,3,steady state,12,Dev,499,999,48.700132713199515,"(0.959972977039193, 1.026992389258141)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,4,steady state,554,Dev,499,999,-5.500014968605811,"(0.9880954061164312, 1.0142030295862807)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,5,steady state,2,Dev,499,999,49.70013893674047,"(0.9305240469374703, 1.0038037840994358)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,6,steady state,442,Dev,499,999,5.700014887919771,"(0.9536387440915441, 1.0143551488573854)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,7,steady state,10,Dev,499,999,48.900144603091924,"(0.9181866467545777, 0.9928235491291636)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,8,steady state,11,Dev,499,999,48.80013938443822,"(0.9414534565145083, 0.9885148711714667)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#,9,steady state,11,Dev,499,999,48.80014748513548,"(0.9195700066910987, 0.9804322842287438)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,0,steady state,0,Dev,95,196,50.08470835199999,"(1.0022107800961104, 1.068732483160582)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,1,steady state,0,Dev,98,203,50.53349887999999,"(0.9730085809831224, 1.0342188931473573)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,2,steady state,0,Dev,99,204,51.48613017599999,"(0.9755231573280301, 1.0425891269122913)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,3,steady state,0,Dev,100,202,50.88582041600001,"(1.0019358743910873, 1.0723394175774783)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,4,steady state,0,Dev,98,201,50.664570880000014,"(0.9875346484730565, 1.0531165245464609)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,5,steady state,0,Dev,95,200,49.64430643200001,"(0.9515789140184158, 1.0148810533766572)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,6,steady state,0,Dev,100,202,51.332513792000015,"(0.9818928623234654, 1.0469297775589246)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,7,steady state,0,Dev,95,197,49.99348224000001,"(0.999768828158994, 1.0663712493359934)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,8,steady state,0,Dev,99,205,50.63573504000001,"(0.969807192148559, 1.034045335577073)"
jgrapht__jgrapht#org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.generateGraphBenchmark#,9,steady state,0,Dev,100,204,51.271696384000016,"(0.9792082480148668, 1.045356875044282)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,0,steady state,5,Dev,9,19,0.4000002513575682,"(0.9946168821622292, 1.1908501468260286)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,1,steady state,7,Dev,9,19,0.20000010180192906,"(0.9809462896412484, 1.122644146874749)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,2,steady state,34,Dev,9,19,-2.5000025913051065,"(1.0233959512570836, 1.224553201883559)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,3,steady state,4,Dev,9,19,0.500000341434865,"(0.9403234122521392, 3.4395256128666474)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,4,steady state,34,Dev,9,19,-2.5000016489106462,"(1.0047048531575793, 1.176574392855036)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,5,steady state,2,Dev,9,19,0.700000501495792,"(0.9796959790658579, 1.0795174463312518)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,6,steady state,0,Dev,9,19,0.9000008911974943,"(0.9908548830897485, 1.1228310291153665)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,7,steady state,0,Dev,9,19,0.9000007411889581,"(1.0092760579270694, 1.281751957758279)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,8,steady state,1,Dev,9,19,0.8000005808639405,"(1.0619784609304417, 1.1124487215974865)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_1G#depth=16,9,steady state,1,Dev,9,19,0.8000007086360004,"(1.029514681501414, 1.1345889485120977)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,0,steady state,18,Dev,39,79,2.100001551493804,"(0.8749469427153826, 1.1016461285703567)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,1,steady state,631,Dev,39,79,-59.2000521431325,"(0.9516942170880865, 1.134772787217437)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,2,steady state,24,Dev,39,79,1.5000010437274836,"(1.0387012670785698, 1.707720893446364)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,3,steady state,987,Dev,39,79,-94.8000810612279,"(0.972298040908293, 1.1698698337397837)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,4,steady state,1683,Dev,39,79,-164.4001413989345,"(1.0904710848685493, 1.3269086187516668)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,5,steady state,24,Dev,39,79,1.5000014769456151,"(1.0912102280020546, 1.3119303948616194)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,6,steady state,1219,Dev,39,79,-118.00009873030848,"(1.0968877985060486, 1.2947369526415415)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,7,steady state,110,Dev,39,79,-7.1000060660193896,"(1.0975687662056133, 1.2861912338040875)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,8,steady state,133,Dev,39,79,-9.400009373769205,"(1.0532651265625999, 1.263607764229274)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3,9,steady state,0,Dev,39,79,3.9000046360923473,"(0.9183633808099717, 1.2391065304695343)"
