Abnaxos/guards;;1.7
abstools/timsort-benchmark;1.7;
acisternino/narjillos-math-bench;;1.8
addthis/basis;1.8;
addthis/codec;1.8;
AdoptOpenJDK/vmbenchmarks;1.7;
afdw/fastcloud;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
afredlyj/learn-netty;1.7;1.7
AgentTroll/TrollCommons;1.7;1.7
airlift/aircompressor;1.8;
airlift/airlift;;
airlift/slice;;
aitusoftware/flute;1.8;1.8
Ajeet-Ganga/howToGuide;;
akarnokd/akarnokd-misc;1.8;1.8
akarnokd/ixjava;1.6;1.6
akarnokd/reactive-streams-impl;1.8;1.8
akarnokd/ReactiveChannel;1.8;1.8
akarnokd/RxJava2Extensions;1.6;1.6
akashche/tzdata-jmh;1.6;
alesharik/AlesharikWebServer;1.8;1.8
Alex-Diez/Java-TDD-Katas;11;11
alexey-kotlyar/algostructure;1.8;1.8
alexeyr/pcg-java;1.7;
alexingcool/presto;;
alexo/spinner;;
allegro/json-avro-converter;;1.8
almondtools/regexbench;1.8;1.8
almondtools/stringbench;1.8;1.8
amoAHCP/Java8LunchSchool;1.8;1.8
amsa-code/risky;1.8;1.8
andrepnh/data-structure-fun;1.8;1.8
andrey-vasilyev/gosthash;;
andreytim/jafar;1.7;1.7
aNNiMON/Own-Programming-Language-Tutorial;;1.8
anonl/nvlist;;
aol/cyclops-react;1.8;1.8
apache/aurora;;
apache/calcite;;1.6
apache/cassandra;;
apache/commons-bcel;1.8;1.8
apache/commons-crypto;1.8;1.8
apache/commons-csv;1.8;1.8
apache/directory-kerby;1.8;
apache/hive;1.8;1.8
apache/ignite;1.8;1.8
apache/incubator-druid;10;10
apache/incubator-gobblin;;
apache/incubator-pinot;1.8;1.8
apache/incubator-retired-pirk;1.8;1.8
apache/incubator-rya;1.8;1.8
apache/kafka;1.8;1.8
apache/logging-log4j2;1.8;1.8
apache/orc;1.8;1.8
apache/parquet-mr;1.8;1.8
apache/tinkerpop;1.8;1.8
apptik/joio;;1.7
apptik/jus;JavaVersion.VERSION_1_7;JavaVersion.VERSION_1_7
apptik/JustJson;1.7;1.7
apptik/RHub;1.8;1.8
areese/JavaTheCostOfDoingNothing;1.8;1.8
areese/TestUTF8Decoding;;
arienkock/parallelism-benchmarks;1.8;
arjunswaj/Java8;1.8;1.8
arnaudroger/benchmark-loop;1.8;
arnaudroger/jmh-exp;1.6;
arnaudroger/mapping-benchmark;1.8;
arnaudroger/orm-benchmark;1.6;
arnaudroger/sfm-csv-variability;1.8;
arnaudroger/SimpleFlatMapper;1.8;1.8
arnohaase/a-foundation;1.8;1.8
arteam/100-Java-Concurrency-questions;1.8;1.8
artspb/javax-mail-pool;1.7;
asarkar/java;1.6;1.8
ashishbende/RPC-API;1.6;1.6
asimihsan/jmh-gradle-anagrams;JavaVersion.VERSION_1_7;JavaVersion.VERSION_1_7
asympro/CleanStringBuilderBenchmark;1.6;
atlanmod/NeoEMF;;
atlassian/commonmark-java;JavaVersion.VERSION_1_7;JavaVersion.VERSION_1_7
audit4j/audit4j-benchmarks;1.8;1.8
austinv11/ETF-Java;;1.8
awood/crl-stream;1.6;
azadmanesh/sl-tracer;;
basho-labs/java-client-bench;1.8;
bassemZohdy/SimpleUtils;1.8;
batterseapower/btreemap;;1.8
batterseapower/timeseries-compression;;
bckfnn/taggersty;1.8;1.8
bdonlan/invokedynamic-proxy;1.8;1.8
bearmug/x-traktor-core;;
