Abnaxos/guards;1.5.2
abstools/timsort-benchmark;1.8
acisternino/narjillos-math-bench;1.9.2
addthis/basis;1.10.1
addthis/codec;0.9.6
AdoptOpenJDK/vmbenchmarks;1.10.1
afdw/fastcloud;1.17.4
afredlyj/learn-netty;0.9
AgentTroll/TrollCommons;0.9
airlift/aircompressor;
airlift/airlift;
airlift/slice;
aitusoftware/flute;1.15
Ajeet-Ganga/howToGuide;
akarnokd/akarnokd-misc;1.21
akarnokd/ixjava;1.17.4
akarnokd/reactive-streams-impl;1.10.3
akarnokd/ReactiveChannel;1.11.1
akarnokd/RxJava2Extensions;1.16
akashche/tzdata-jmh;1.6.3
alesharik/AlesharikWebServer;1.21
Alex-Diez/Java-TDD-Katas;1.11
alexey-kotlyar/algostructure;1.18
alexeyr/pcg-java;1.6.2
alexingcool/presto;
alexo/spinner;1.1.1
allegro/json-avro-converter;1.20
almondtools/regexbench;1.21
almondtools/stringbench;1.21
amoAHCP/Java8LunchSchool;1.8
amsa-code/risky;1.10.2
andrepnh/data-structure-fun;1.15
andrey-vasilyev/gosthash;1.12
andreytim/jafar;0.9.5
aNNiMON/Own-Programming-Language-Tutorial;1.13
anonl/nvlist;
aol/cyclops-react;1.14
apache/aurora;1.15
apache/calcite;1.12
apache/cassandra;
apache/commons-bcel;1.19
apache/commons-crypto;1.12
apache/commons-csv;1.5.2
apache/directory-kerby;1.21
apache/hive;1.21
apache/ignite;1.13
apache/incubator-druid;1.21
apache/incubator-gobblin;1.17.3
apache/incubator-pinot;1.21
apache/incubator-retired-pirk;1.13
apache/incubator-rya;1.13
apache/kafka;
apache/logging-log4j2;1.21
apache/orc;1.20
apache/parquet-mr;1.21
apache/tinkerpop;1.21
apptik/joio;1.11
apptik/jus;1.17.3
apptik/JustJson;1.17.4
apptik/RHub;1.19
areese/JavaTheCostOfDoingNothing;1.19
areese/TestUTF8Decoding;1.12
arienkock/parallelism-benchmarks;1.6.1
arjunswaj/Java8;1.11.3
arnaudroger/benchmark-loop;1.19
arnaudroger/jmh-exp;1.0
arnaudroger/mapping-benchmark;1.21
arnaudroger/orm-benchmark;1.10.3
arnaudroger/sfm-csv-variability;1.16
arnaudroger/SimpleFlatMapper;1.21
arnohaase/a-foundation;1.7
arteam/100-Java-Concurrency-questions;1.21
artspb/javax-mail-pool;1.3.1
asarkar/java;1.5.1
ashishbende/RPC-API;0.9
asimihsan/jmh-gradle-anagrams;
asympro/CleanStringBuilderBenchmark;1.12
atlanmod/NeoEMF;1.21
atlassian/commonmark-java;1.17.5
audit4j/audit4j-benchmarks;1.19
austinv11/ETF-Java;
awood/crl-stream;1.11.2
azadmanesh/sl-tracer;
basho-labs/java-client-bench;1.11.2
bassemZohdy/SimpleUtils;1.9.3
batterseapower/btreemap;1.17.3
batterseapower/timeseries-compression;
bckfnn/taggersty;1.9.3
bdonlan/invokedynamic-proxy;1.6.1
bearmug/x-traktor-core;1.12
belliottsmith/injector;1.0
ben-manes/caffeine;
benalexau/hash-bench;1.11.2
bensteinert/chromarenderer-java-benchmarks;
bensteinert/chromarenderer-java;
biboudis/clashofthelambdas;0.9.3
biboudis/streamalg;1.3.1
bingoohuang/eql;1.21
bingoohuang/javacode-demo;1.3.1
bingoohuang/westcache;1.20
blemale/fuse;
blynkkk/blynk-server;1.19
bodewig/commons-compress-benchmarks;1.19
bramp/unsafe;1.10.4
BrentDouglas/vial;1.7
brettwooldridge/HikariJSON-benchmark;1.17.2
britter/to-array-benchmark;1.6.3
btraceio/btrace;1.20
BunnyWei/truffle-llvmir;
burmanm/compression-int;1.21
burmanm/gorilla-tsc;1.18
C0rWin/Java-KMeans-Coreset;1.15
cache2k/cache2k-benchmark;1.21
camunda/camunda-engine-dmn-benchmark;1.11.2
canepat/Helios;
carrotsearch/hppc;1.21
ceki/logback-perf;1.11.3
census-instrumentation/opencensus-java;1.20
centic9/poi-benchmark;1.21
cglib/cglib;1.21
chrisvest/object-pool-benchmarks;1.10.4
cindywang/CaOntheGo;
cinnober/msgcodec;1.6.3
cinquin/mutinack;
classgraph/classgraph;1.21
coconut2015/cookjson;1.12
codahale/aes-gcm-siv;
codahale/gimli;
codahale/longmapper;
codahale/passpol;
codahale/shamir;
codahale/usl4j;
codahale/xsalsa20poly1305;
Codearte/duramen;1.19
coder-press/crazy-soap;1.10.5
codesorcery/juan;1.21
comodal/hash-overlay;
ConSol/parallel-streams-example;0.9.6
conversant/disruptor_benchmark;1.19
cpoepke/demos;1.0.1
crate/crate;1.21
CrispOSS/prime-sieves;1.10.2
cryptomator/cryptolib;1.21
cryptomator/siv-mode;1.21
cs-ester-peixoto/docker-jenkins;1.15
cschenyuan/hive-hack;1.4.1
curioswitch/curiostack;
d0k1/acache;1.11.1
d0k1/groovy-eval-bench;1.12
d0k1/jitloganalyzer;1.17.1
DaanVanYperen/artemis-odb-contrib;0.9.5
dafei1288/max;1.20
danielnorberg/rut;1.19
DanielThomas/spring-boot-starter-netty;1.11.2
darwin-evolution/darwin;1.11.2
DataArt/CalculationEngine;1.11.2
daten-io/faster;
davidhagar-zz/java-microbenchmarks;0.9
davidmoten/audio-recognition;1.2
davidmoten/geo;1.11.1
davidmoten/hilbert-curve;1.21
davidmoten/kool;1.11.1
davidmoten/rtree-3d;1.11.2
davidmoten/rtree;1.11.3
davidmoten/rxjava-extras;1.11.1
davidmoten/rxjava-jdbc;1.15
davidmoten/rxjava2-extras;1.16
davidmoten/rxjava2-http;1.21
davidmoten/word-wrap;1.11.1
dcapwell/collections;1.12
dcapwell/java-file-operations;
dcapwell/jmh-tests;1.11.2
debmalya/vigilant-tribble;1.12
debop/debop4k;
deephacks/lmdbjni;1.5
demoth/finistika;1.18
Devexperts/dlcheck;1.16
dimagi/commcare-core;1.17.3
dimitrovchi/enum-like;1.10.3
dmart28/reveno;1.21
dmitryleskov/algs4bench;1.1
dmnlukasik/java-8-concurrency-updates;1.1.1
Domo42/saga-lib;1.15
drankye/bufferalloc;0.9.1
dropbox/dropbox-sdk-java;1.12
dropwizard/dropwizard;1.21
dropwizard/metrics;1.21
dryuf/dryuf-concurrent;1.11.1
easymock/objenesis;1.21
ecki/jmhbench-cryptospeed;1.12
eclipse/eclipse-collections;1.21
eclipse/vert.x;1.19
elastic/elasticsearch;
elbek/ir;
elliottneilclark/time-test;1.11.1
enisher/polymorphic-calls-benchmark;0.9.3
ennerf/flatbuffers-java-benchmark;1.1
epickrram/benchmark;1.0
epickrram/jvm-warmup-talk;1.11.2
epickrram/lock-benchmark;1.0
epickrram/lock-contention;1.17.2
eranharel/memcached-java-clients-benchmark;1.11.3
ericmm/Woobaben;1.19
ericmoshare/uid-generator;1.21
ESAPI/esapi-java-legacy;1.21
escalate42/Javaz-Benchmarks;1.5
eseifert/gral;
eternita/frontcache;1.11.2
evanj/expire-threadlocal;1.11.2
eventsourcing/es4j;
fabienrenaud/java-json-benchmark;1.20
fabri1983/menuapp;1.21
fakemongo/fongo;1.17.4
fbaro/jpack;
federicotg/hashing;1.1
fenderstr/my-bench;0.9
fenderstr/super-bench;1.3.2
finn-no/serdes-shootout;1.9.3
FIXTradingCommunity/silverflash;1.13
foursquare/fsqio;
fpavageau/bench-filters;0.9
fpavageau/bench-simple-name;1.4.1
frankboller/watcher;1.18
gameduell/eclipselink.runtime;0.9.3
gdrouet/scanner-benchmark;0.9.5
gensym/hikesaber;
gensym/jmh-lein-example;
ghxandsky/benchmarx;0.9.3
Gilandel/utils-assertor;
Gilandel/utils-commons;
glowroot/glowroot;1.21
Gohla/persistent-graph;1.11.3
golo-lang/golo-jmh-benchmarks;1.21
google/conscrypt;1.19
gorkem/js-parser-benchmarks;1.11.2
gpanther/benchmark-arraycopy;1.11.3
gpanther/lychrel-numbers;1.10.5
gpanther/regex-libraries-benchmarks;1.11
graalvm/mx;
graphql-java/graphql-java;1.21
Graylog2/graylog-plugin-pipeline-processor;1.14.1
grpc/grpc-java;1.19
GumTreeDiff/gumtree;
guyko/weighted-lottery;1.21
gvsmirnov/java-perv;1.6.1
gvsmirnov/jmh-gradle-sample;0.9
h2oai/h2o-3;1.21
Hanmourang/Pinot;1.10.4
HansBrende/f8;1.21
haozhun/regexp-bench;1.1
hawkular/hawkular-metrics;1.17.4
hazelcast/hazelcast;1.16
HBTGmbH/java-propertyname;1.21
hhu-stups/bmoth;1.19
hibernate/hibernate-ogm;1.21
hibernate/hibernate-validator;1.20
hmarchadour/EasyCDO;1.11.2
hrldcpr/pcollections;
hsqlu/coding-lab;1.12
HubSpot/jinjava;1.21
huxi/sulky;1.17.4
iamdarksorcerer/java-jmh-benchmarks;1.0
ibodrov/bpm;1.12
identifiers/identifiers-java;1.21
igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano;
iksmada/DC-UFSCar-ES2-201601-GrupoDilema;
iloveyou416068/CookNIOServer;0.9
imglib/imglib2;1.19
immutables/samples;1.10.3
iNikem/clean;1.12
insano10/puzzlers;1.10.1
inspectIT/inspectIT;1.19
intropro/prairie;1.11.1
InvisibleTech/state;1.17.3
iok1979/test;1.11.2
ipogudin/examples;1.4.1
