project;benchmark;params;javaPath;jarFile;arguments
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool;;PATH/TO/java;PATH/TO/byte-buddy.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
