project;benchmark;params;javaPath;jarFile;arguments
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field;;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1000;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10000;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100000;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=1;PATH/TO/java;PATH/TO/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
