project;benchmark;params;javaPath;jarFile;arguments
squidlib;squidpony.performance.CoordPackerBenchmark.doPack;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doUnion;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doIntersect;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doFringe;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doExpand;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doSurface;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doRetract;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doFlood;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doRandom;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doPackG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doUnionG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doIntersectG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doFringeG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doExpandG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doSurfaceG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doRetractG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doFloodG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doRandomG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.measureMixedSeparatedG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.measureMixedSeparatedAltG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.measureMixedRegionG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.measureZCurveRegionG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.measureQuasiRegionG;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.CoordPackerBenchmark.doRandomA;;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap;NEED_TO_ENLARGE=0&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap;NEED_TO_ENLARGE=1&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap;NEED_TO_ENLARGE=2&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap2;NEED_TO_ENLARGE=0&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
