project;benchmark;params;javaPath;jarFile;arguments
zipkin;zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
zipkin;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder;;PATH/TO/java;PATH/TO/zipkin.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
